"","name","description","page"
"1","ensembl_gene_id","Gene ID","feature_page"
"2","ensembl_transcript_id","Transcript ID","feature_page"
"3","ensembl_peptide_id","Protein ID","feature_page"
"4","ensembl_exon_id","Exon ID","feature_page"
"5","description","Description","feature_page"
"6","chromosome_name","Chromosome/scaffold name","feature_page"
"7","start_position","Gene Start (bp)","feature_page"
"8","end_position","Gene End (bp)","feature_page"
"9","strand","Strand","feature_page"
"10","band","Band","feature_page"
"11","transcript_start","Transcript Start (bp)","feature_page"
"12","transcript_end","Transcript End (bp)","feature_page"
"13","transcription_start_site","Transcription Start Site (TSS)","feature_page"
"14","transcript_length","Transcript length (including UTRs and CDS)","feature_page"
"15","transcript_gencode_basic","GENCODE basic annotation","feature_page"
"16","external_gene_name","Associated Gene Name","feature_page"
"17","external_gene_source","Associated Gene Source","feature_page"
"18","external_transcript_name","Associated Transcript Name","feature_page"
"19","external_transcript_source_name","Associated Transcript Source","feature_page"
"20","transcript_count","Transcript count","feature_page"
"21","percentage_gc_content","% GC content","feature_page"
"22","gene_biotype","Gene type","feature_page"
"23","transcript_biotype","Transcript type","feature_page"
"24","source","Source (gene)","feature_page"
"25","transcript_source","Source (transcript)","feature_page"
"26","status","Status (gene)","feature_page"
"27","transcript_status","Status (transcript)","feature_page"
"28","version","Version (gene)","feature_page"
"29","transcript_version","Version (transcript)","feature_page"
"30","phenotype_description","Phenotype description","feature_page"
"31","source_name","Source name","feature_page"
"32","study_external_id","Study External Reference","feature_page"
"33","strain_name","Strain name","feature_page"
"34","strain_gender","Strain gender","feature_page"
"35","p_value","P value","feature_page"
"36","go_id","GO Term Accession","feature_page"
"37","name_1006","GO Term Name","feature_page"
"38","definition_1006","GO Term Definition","feature_page"
"39","go_linkage_type","GO Term Evidence Code","feature_page"
"40","namespace_1003","GO domain","feature_page"
"41","goslim_goa_accession","GOSlim GOA Accession(s)","feature_page"
"42","goslim_goa_description","GOSlim GOA Description","feature_page"
"43","arrayexpress","ArrayExpress","feature_page"
"44","chembl","ChEMBL ID(s)","feature_page"
"45","clone_based_ensembl_gene_name","Clone based Ensembl gene name","feature_page"
"46","clone_based_ensembl_transcript_name","Clone based Ensembl transcript name","feature_page"
"47","clone_based_vega_gene_name","Clone based VEGA gene name","feature_page"
"48","clone_based_vega_transcript_name","Clone based VEGA transcript name","feature_page"
"49","ccds","CCDS ID","feature_page"
"50","dbass3_id","Database of Aberrant 3' Splice Sites (DBASS3) IDs","feature_page"
"51","dbass3_name","DBASS3 Gene Name","feature_page"
"52","embl","EMBL (Genbank) ID","feature_page"
"53","ens_hs_gene","Ensembl Human Gene IDs","feature_page"
"54","ens_hs_transcript","Ensembl Human Transcript IDs","feature_page"
"55","ens_hs_translation","Ensembl Human Translation IDs","feature_page"
"56","ens_lrg_gene","LRG to Ensembl link gene","feature_page"
"57","ens_lrg_transcript","LRG to Ensembl link transcript","feature_page"
"58","entrezgene","EntrezGene ID","feature_page"
"59","hpa","Human Protein Atlas Antibody ID","feature_page"
